Instructions,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure each row contains an item name; an item and its variations have the same category and description; GTINs are 8,12, 13, or 14 characters and contain numbers only; and every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Created by Square,Example item,Small,A12345,100% organic soft cotton t-shirt,Apparel,"Visible, Invisible, Hidden",,24.99,Y or N,Y or N,Sizes,Small,10,15,Y or N,5,Y or N
Token,Item Name,Variation Name,SKU,Description,Category,Square Online Item Visibility,Weight (lb),Price,Sellable,Stockable,Option Name 1,Option Value 1,Current Quantity Bahumati Gifting,New Quantity Bahumati Gifting,Stock Alert Enabled Bahumati Gifting,Stock Alert Count Bahumati Gifting,Tax - Sales Tax (9%)
DAM7BYUNVGUVGIPAN7FSWDWF,Aadhya,Regular,ADY210001,"This multi-purpose silver plated bowl is the perfect return gift for events like weddings, housewarmings, baby showers, and others. This bowl can be used to hold dry fruits, baby food, sweet offerings among many other items.
Item  : Floral Bowl
Set Contains : 1 Bowl + 1 Spoon
Material : Brass
Care instructions : Store it in the velvet box after use. Product may oxidize over a period of time due to chemical reactions.",German Silver Collection,visible,0.36,5.00,Y,,,,4,,,,Y
2CFWUVZ55NGAYJKWT3CWN3SQ,Aditi,One,ADT221001,"This multi-purpose silver plated bowl is the perfect return gift for events like weddings, housewarmings, baby showers, and others. This bowl can be used to hold dry fruits, baby food, sweet offerings among many other items.
Item : Bowl and Tray set
Color : Golden, Silver
Material : Aluminum
Size	: 22 x 12 x 6 cm (W x L x H)
Weight : 0.84 lb
Quantity Per Pack : 5
Set Contains : 2 Bowl + 2 Spoon + 1 Tray
Care instructions : Store it in the velvet box after use. Product may oxidize over a period of time due to chemical reactions.",German Silver Collection,visible,0.84,20.00,Y,,,,11,,,,Y
TIFUHCFH7Z5KJYY2WI4TAKZE,Apparel Gift Bag,Regular,AGB100002,"Protect your clothing by buying this storage bag which is used to organize and safeguard your valuable sarees and clothing.
Material: One side of this bag is made of cloth, while the other is made of brocade fabric.",Gift Bags,visible,,2.50,Y,,,,10,,,,Y
OKVPTIVQHMJPCQ4OXU7OKQOK,Bangle Box - Big,Regular,BBB100002,"This bangle box is suitable as return gift favors for any occasion. One may keep personal belongings such as money, cosmetics, and jewelry in this box.
- Dimensions: Diameter - 3.35 in; Width - 6.3 in",Home Essentials,visible,,12.00,Y,,,,3,,,,Y
U5YHQA5P5GBNTVJJL6GGNWYV,Bangle Box - Round,Regular,BBR100002,"This stunning bright color potli box with golden zari work, is the finest choice for storing toiletries, earrings, bangles, and necklaces. Decorate your dressing area with this elegant utility box to draw the attention of your visitors.
Dimensions: Diameter - 3.74 in; Height - 2.17 in | Weight - 50gm
Material: Plastic covered with decorative fabric",Home Essentials,visible,,5.00,Y,,,,7,,,,Y
S2DCPRBIAEDPEANIJTTNORAF,Bangle Box - Small,Regular,BBS100002,"This product is great for traveling because it keeps your heavy Bangles separate from other items in your suitcase.
- Dimensions: Diameter - 3.35 in; Width - 4.33 in
- Material: Plastic and fabric",Home Essentials,visible,,8.00,Y,,,,38,,,,Y
W3H4JGGACXFLR6J2K5QM4BQT,Camel Ride,Regular,CMR100004,"It is a traditional product made from recycled materials. Each Piece is Handmade and Hand Printed with Mineral Beads. This decorative showpiece adds a regal touch to your home with its doll couple and hand work. A stunning piece of authentic Indian art for living rooms that showcases the fine and intricate detailing. This Rajasthani Doll Rider Decorative Item Raise The Decor Value Of The House, Office, Hotel, Temple, Etc. A Priceless Personal Collectibles Collection.
Craft Type: Dolls & Toys ; Material: Recycled Material; Color: Multi- Coloured ; Package Contents: 1 Doll Rider ; Product Size in CM - 16*5*18Length*Width*Height)",Home Essentials,visible,,25.00,Y,,,,10,,,,Y
2CQZXZYVW5FTFA2JBBIR5UQQ,Chanda,Regular,CHD100002,This lovely silver bowl is ideal for serving desserts or storing tiny objects. It comes in a lovely gift bag and would make a wonderful present. Flower-decorated fancy rim with a polished mirror finish. This is an eye-catching piece that can brighten up any space.,German Silver Collection,visible,,10.00,Y,,,,20,,,,Y
BF4QBKOR4JZGZGCYI5P3KMD4,Decor Animal Family,Regular,CND300002,"Decorative animal objects made of papermache boost the interior design appeal of the home, business, hotel, etc. Outstanding suggestions for wedding presents, anniversary gifts, housewarming gifts, birthday gifts, new venture, award ceremonies, and festival gifts.; a priceless personal collection of collectibles",Home Essentials,visible,,12.00,Y,,,,52,,,,Y
IDS2PUATJXLOM7QGYYBZRLU7,Dhani,Big,DHB200002,"In the morning, enjoy dryfruits fresh from your garden. These lovely hammered copper containers with a beautifully petaled lid are perfect for storing them. Live your life as it should be. You can use it to hold salt, sugar, or even cookies. The foundation is solid, the lid fits perfectly, and the color is deep. The lower section of this gold-plated hammered storage box is exquisitely made, and the lid has a lotus design. The lovely lotus petals design container is a lovely way to celebrate and serve in style, making it a desirable addition to your home decor.",Home Essentials,visible,,12.00,Y,,,,10,,,,Y
Q7XGTYEPYE26VXWFOGYHHKPQ,Dhani,Small,DHS200002,,Home Essentials,visible,,7.00,Y,,,,10,,,,Y
3KETVPAFCJDHN7IBBKD5L2SW,Diya,One,DYA100003,"Diya, a beautiful decorative piece that is designed with crystals, provides a unique and vintage look to your home. This stunning GIFT is perfect for festival season to bring that spark to a boring candle!
Item : Crystal Diya
Material :	Brass, Crystal
Color : Golden, White
Weight : 0.45 lb
Dimension : Dimension: 8 x 6 x 5 Centimetre
Care Instructions : First of all wet the Diya with water. Then rub the Diya with pitambari powder of lemon for Extra Shine. Then wash well under running water. At last clean with a Dry Cotton Cloth. Do not use steel wool or wire mesh for cleaning.",Home Essentials,visible,0.45,8.00,Y,,,,22,,,,Y
